;Wind Speed;Rotor Speed;Active Power;T Outside Nacelle Level;Pitch Angle;Air Density
355;11,18;10,11;6301,567;5,31;2,78;1,2502076251769885
356;11,14;10,11;6083,965;5,31;2,21;1,2502076251769885
357;9,69;9,89;4436,117;5,35;0,19;1,2500318976959477
358;9,57;9,97;4235,08;5,33;0,02;1,2501197563380575
359;10,07;10,1;5073,858;5,26;0,22;1,2504273418797047
360;10,12;10,1;5201,002;5,17;0,09;1,2508229924870866
361;10,63;10,1;5382,578;5,09;0,14;1,2511748551442836
362;10,32;10,09;5258,073;4,96;0,71;1,2517469795376224
363;9,59;10,04;4088,001;5,06;-0,01;1,2513068456616645
364;9,78;10,03;4716,822;5,07;0,06;1,251262846276195
365;9,89;10,1;4664,872;5,04;0,03;1,2513948520710543
366;9,47;10,05;4336,243;5,01;0,06;1,251526880779533
367;9,73;10,07;4483,457;4,96;0,06;1,2517469795376224
368;9,19;9,96;4006,122;5,03;0,06;1,251438859094744
369;9,59;10,07;4398,846;4,93;0,03;1,2518790693336932
370;9,66;10,1;4514,529;4,86;0,0;1,2521873679156856
371;10,25;10,07;4806,631;4,87;0,04;1,2521433176286614
372;9,92;10,09;4792,388;4,85;0,04;1,2522314207465408
373;9,29;9,87;3997,96;4,84;0,01;1,2522754761211068
374;9,57;9,82;4264,156;4,98;0,02;1,251658932398494
375;10,67;10,11;5630,345;4,85;0,2;1,2522314207465408
376;10,53;10,11;5535,74;4,8;0,14;1,2524517230540506
377;9,96;9,93;4315,992;4,83;3,08;1,2523195340392619
378;9,96;9,74;3249,524;4,81;6,35;1,2524076575058556
379;9,85;9,72;3239,157;4,61;6,29;1,2532894515186226
380;9,87;9,74;3252,746;4,6;6,24;1,2533335679053366
381;9,28;9,79;3305,993;4,74;4,8;1,252716169744096
382;9,95;9,74;3250,45;4,83;6,47;1,2523195340392619
383;10,79;9,72;3233,882;4,89;8,34;1,2520552246865875
384;10,93;9,72;3232,729;4,9;9,17;1,2520111820317779
385;10,82;9,72;3234,849;4,91;8,74;1,2519671419212792
386;10,86;9,72;3233,81;4,88;8,84;1,2520992698855886
387;11,46;9,72;3234,004;4,97;9,96;1,2517029546954876
388;12,0;9,72;3232,4;5,05;10,43;1,2513508475933226
389;11,31;9,72;3233,309;5,06;9,47;1,2513068456616645
390;11,62;9,72;3233,687;5,2;9,91;1,2506910860203033
391;11,03;9,72;3232,194;5,04;8,88;1,2513948520710543
392;10,9;9,72;3233,733;5,13;8,66;1,250998903439774
393;10,74;9,72;3232,305;5,22;8,64;1,2506031611144774
394;11,03;9,73;3233,531;5,26;9,23;1,2504273418797047
395;12,4;9,73;3235,308;5,37;11,21;1,2499440492515237
396;12,44;9,73;3234,609;5,3;11,47;1,2502515634199909
397;12,63;9,73;3233,725;5,33;12,21;1,2501197563380575
398;13,34;9,73;3233,661;5,36;12,71;1,249987972198971
399;13,65;9,72;3231,143;5,32;13,28;1,2501636894829744
400;14,13;9,73;3232,488;5,36;13,94;1,249987972198971
401;13,68;9,72;3232,045;5,41;13,28;1,2497683829591648
402;14,71;9,72;3232,058;5,36;14,51;1,249987972198971
403;13,35;9,73;3232,244;5,48;13,02;1,2494610651290203
404;14,45;9,73;3232,617;5,53;14,05;1,2492416289150896
405;13,11;9,72;3232,15;5,47;12,59;1,2495049600246226
406;13,52;9,73;3232,974;5,56;13,13;1,2491099978017255
407;14,2;9,73;3232,124;5,62;13,9;1,2488468044716723
408;14,64;9,73;3234,312;5,66;14,63;1,2486713932950102
409;15,12;9,72;3232,356;5,58;15,08;1,2490222564841127
410;14,26;9,73;3233,142;5,56;13,71;1,2491099978017255
